000026.00 Jx15S
000036.50 Jx15S
000047.00 Jx15S
000057.00 Jx15L
000068.00 Jx17L
000079.00 Jx17L
000094.50 Jx13S
000105.00 Jx13S
000115.00 Jx14S
000125.50 Jx14S
000135.00 Jx13L
000166.50 Jx15L
000175.50 Jx13L
000187.00 Jx16L
000195.50 Jx14L
000207.50 Jx16L
000216.00 Jx15L
000226.00 Jx14L
000238.00 Jx18L
000246.00 Jx14S
000256.50 Jx16L
000277.50 Jx17L
000288.50 Jx17L
000295.00 Jx14L
000304.00 Bx12S
000357.00 Jx16S
000374.50 Jx12L
000415.50 Jx13S
000434.50 Bx13S
000445.50 Bx13S
000458.00 Jx16L
000467.50 Jx16S
000478.50 Jx18L
000485.50 Jx15S
000506.00 Jx16L
000515.50 Jx15L
000527.00 Jx16 
0005310.00Jx18L
000549.00 Jx16L
000557.00 Jx17L
000565.00 Bx13S
000594.50 Bx13L
000606.50 Jx16S
000626.00 Jx16S
000634.00 Bx13S
000645.50 Jx16L
003018.00 Jx15L
003036.00 Jx17L
003047.50 Jx16L
003107.50 Jx17S
003126.00 Jx17S
003137.50 Jx17L
003146.50 Jx16L
003156.50 Jx15S
003167.00 Jx16L
003176.00 Jx15S
003186.00 Jx16S
003197.00 Jx16S
003207.00 Jx16L
003217.00 Jx17L
003256.00 Jx14S
003266.00 Jx15L
003276.50 Jx15L
003297.00 Jx17L
003306.00 Jx15S
003325.00 Jx14S
003365.50 Jx15S
003374.00 Jx15S
003395.50 Jx16L
